,22500,10000,20000,15000,17500,12500
0,592,615.0,620.0,617.0,616.0,618.0
1,1187,1209.0,1218.0,1215.0,1214.0,1215.0
2,1785,2356.0,1818.0,1810.0,1813.0,1811.0
3,2385,2356.0,2420.0,2411.0,2408.0,2411.0
4,2986,2356.0,3023.0,3013.0,3011.0,3641.0
5,3588,,3619.0,5222.0,3615.0,3641.0
6,4182,,4226.0,5222.0,4221.0,3641.0
7,4789,,4834.0,5222.0,7072.0,3641.0
8,5397,,5444.0,5222.0,7089.0,3641.0
9,6007,,6055.0,5222.0,7089.0,
10,6618,,9242.0,5222.0,7089.0,
11,7231,,9242.0,5222.0,7089.0,
12,9826,,9242.0,5222.0,7089.0,
13,11679,,9242.0,5222.0,7089.0,
14,11679,,9242.0,,7089.0,
15,11679,,9242.0,,7089.0,
16,11679,,9242.0,,7089.0,
17,11679,,9242.0,,7089.0,
18,11679,,9242.0,,7089.0,
19,11679,,9242.0,,7089.0,
20,11679,,9242.0,,7089.0,
21,11679,,9242.0,,,
22,11679,,9242.0,,,
23,11679,,9242.0,,,
24,11679,,9242.0,,,
25,11679,,9242.0,,,
26,11679,,9242.0,,,
27,11679,,9242.0,,,
28,11679,,9242.0,,,
29,11679,,9242.0,,,
30,11679,,,,,
31,11679,,,,,
32,11679,,,,,
33,11679,,,,,
34,11679,,,,,
35,11679,,,,,
36,11679,,,,,
37,11679,,,,,
38,11679,,,,,
39,11679,,,,,
40,11679,,,,,
